tree_number,lambda.sim,mu_0.sim,beta.sim,time_decline,time80,final_rich80,time50,time20,time_s20,ntip80,ntip50,ntip20,ntip_s20,mu_f.sim.80,mu_f.sim.50,mu_f.sim.20,mu_f.sim.s20,lambda.fit.80,mu_f.fit.80,beta.fit.80,lambda.fit.50,mu_f.fit.50,beta.fit.50,lambda.fit.20,mu_f.fit.20,beta.fit.20,lambda.fit.s20,mu_f.fit.s20,beta.fit.s20
16,5.662078061,7.547682601,0.505825653,2.742035894,5.042035894,82.59104518,4.142035894,3.542035894,2,143,274,383,440,6.95857741230056,6.61892494063989,6.28960108175782,4.80320905545814,4.4005567404542,4.23832015054799,71.0346379583333,5.40221492921902,5.0938139424572,418.497253145092,4.55994608805896,4.01632657944066,182.87085880409,3.48611982669267,206.948497907312,-0.00745596759724104
17,6.391877201,7.749878615,0.769667534,2.262877195,4.662877195,37.42341751,3.762877195,3.062877195,1.6,16,20,16,48,7.53575204953083,7.32181661357888,7.01622623329669,5.48796966190674,3.65170310145518,25.2020427247448,0.224905574401607,9.42083377992011,9.72584953624086,2439.47389241086,4.23176177258239,4.20707837709344,51.7832740238149,4.88264185064459,3.58535332519133,3436.10346070341
18,2.462851504,2.679245127,0.343323037,7.328932264,17.62893226,53.42062452,13.12893226,10.22893226,5.1,15,94,121,271,2.67294309700938,2.64970275804441,2.59929026295401,2.21410306151484,2.71966737139497,2.78982983080976,396.211358742525,2.14156974809475,2.07862865009435,504.976473471661,2.4936922856351,2.40837822885109,640.820817580381,1.96694875891732,1.38802578955221,48.0272291796203
19,5.378381687,6.566758787,0.823770679,2.075130646,4.575130646,11.62901911,3.575130646,2.975130646,1.4,7,12,49,72,6.41520854873839,6.22136407539445,6.00055715102513,4.49428818141701,3.76423272166709,4.38635012508283,52.7979359633567,1.69916449126634,1.51166315935289,115.887522518861,3.6987135630558,3.25747782327062,1852.82196691895,5.30805178703282,3.61647255841224,42.0475891544907
20,7.057352203,8.013690575,0.773403584,2.748623007,5.648623007,132.556103,4.548623007,3.748623007,2,125,349,562,637,7.91217203908963,7.77599628694572,7.5723979468814,6.30736165406034,4.42701829670267,4.29765479362594,844.206633993249,6.3156604021875,6.07058017513962,636.238383995099,5.86609530942665,5.40351451764032,688.588092499206,3.69257294850329,164.975670114035,-0.0110605412513579
21,4.675597544,4.978149447,0.658077773,4.255668212,11.15566821,67.21746683,8.055668212,6.155668212,2.9,123,197,305,274,4.97492256543215,4.9533317420684,4.89149701560761,4.23982160059972,3.81391650503296,3.69638903060488,605.488783766216,4.82265507535146,4.68114771489242,845.350814375705,4.50340631544253,4.27984284190915,1024.55387729577,3.90148336059739,2.88679496298335,1577.31715182241
22,5.353136397,7.208599646,0.510059875,2.660747064,4.960747064,51.8708738,4.160747064,3.460747064,2,15,48,124,166,6.63452929002755,6.34526718103848,5.97481487604011,4.60952634558286,3.3084528760309,3.49726905573687,6.28287846198999,2.95823660628283,2.72995978764858,18.1927941659185,5.06284227318924,4.68937738114825,1723.71973040585,4.42791008860244,2.80112352713404,20.988642756286
23,8.285646817,9.476207003,0.802682506,2.584284787,5.184284787,280.4124339,4.184284787,3.484284787,1.9,48,176,396,381,9.32850382507733,9.14660455955582,8.89809653843878,7.41418435378522,5.34710804228277,5.29961432852623,25.7115709742671,6.27078222516236,6.01729092918454,68.3094136590789,7.29413596015616,6.74119130966243,1865.53016979304,8.0279194607461,5.9270509268485,2886.39408745103
24,4.284703711,4.627003325,0.547324161,4.757652729,11.35765273,98.54137244,8.457652729,6.657652729,3.4,23,106,169,218,4.61776512597318,4.5818263739803,4.50600574887327,3.90735506841749,3.68969396609917,3.76470678201276,658.883881264885,3.04106525492697,2.93960738886174,11.5481905288071,4.011761309168,3.78894708764604,251.075910853745,2.29972414936459,82.2261968506501,-0.00949089611402965
25,1.135533044,2.151540623,0.061916799,12.11792853,19.91792853,82.95637577,17.11792853,14.91792853,9.5,8,33,73,102,1.52470455239524,1.40604289002263,1.2972520441457,0.956745693118151,0.101994491952077,3.21917938739419,2.98383339790553e-08,0.884406596089027,0.842058973586113,118.854612382872,0.399150219773689,32.0067888898029,-0.000896235369343558,1.14582685062239,0.766236160359056,23.763793349329
26,7.226143326,8.134775297,0.682279639,3.212705073,6.312705073,429.4781817,5.112705073,4.212705073,2.4,529,1325,2335,2518,8.02517136396851,7.88623404743316,7.67549508791984,6.55279568001129,5.96030640675127,5.80711172519322,1103.83781755732,5.89700562179857,5.60478130184928,217.104456104422,6.54817222047211,6.04642133826219,1421.11252318052,6.58669874940986,4.96142090645927,1917.41709661202
27,8.739246876,9.752851787,0.985776209,2.296714525,4.996714525,138.0956643,3.896714525,3.196714525,1.6,32,61,103,157,9.6820649751326,9.54349779932096,9.33544139701405,7.73845900960008,5.63734493643848,5.65628188672013,30.1992556510943,9.66249901480515,9.58422512620462,99.785042454478,6.22724678875811,5.78261391737288,72.171820271026,6.76075190578236,4.67241658750712,39.868730395301
28,5.441821051,5.915116111,0.69453389,3.6363199,8.5363199,90.44328456,6.4363199,5.0363199,2.6,96,358,454,350,5.89937142455604,5.84742031309022,5.73611866193381,4.94299704567996,3.66199146863988,3.58939487849153,801.427847017978,4.93859159377507,4.72647534386404,1027.07076043282,5.73997546152892,5.39366003249079,162.865279451035,4.82243016512178,3.66946923702325,1920.39924910529
29,7.566120049,9.461042858,0.723808845,2.221587265,4.121587265,102.9277912,3.421587265,2.921587265,1.6,402,929,1579,1370,8.98204478386256,8.66602643817184,8.31935024234254,6.48947870900362,6.09357401901232,5.85387408523697,965.627324829553,6.27046246401429,5.78228628745097,1417.59679225714,6.79449027783701,6.00134124133631,1889.41667390945,4.7245950432505,120.64371758467,-0.0220775541939822
30,2.646955808,4.067944288,0.159173383,6.60779473,10.80779473,278.7594004,9.30779473,8.10779473,5.2,363,797,1396,1199,3.33974131969946,3.14336400498188,2.94876832513847,2.29003842310672,2.56978873982343,2.48711977189344,181.658112049416,2.34245790989497,2.17350448072193,425.167224942717,2.20659065572015,1.89376629287324,683.935959757006,2.70129932766026,1.97993214075225,438.434952516726
31,1.757859994,2.119057078,0.264572342,6.687406292,14.58740629,13.72538085,11.38740629,9.187406292,4.7,9,32,40,19,2.07438707295312,2.01489649842245,1.93263881132823,1.50797182067361,0.752603873426435,0.898222958356608,1.34338447845837,1.35857990477781,1.23842233070053,738.883141372543,1.70412773433384,1.6614132307903,2.44647515444047,1.26543693299838,0.911974957274646,9.22915236292106
32,1.773264528,2.326746872,0.202409949,7.094495751,13.79449575,25.14456263,11.19449575,9.394495751,5.2,4,12,16,40,2.18414121216754,2.08537251789122,1.97927386897165,1.51458908203502,3.29974742591942,4.04751466505147,2193.307331385,0.744962040951352,46.1004994554477,0.00559858532866353,1.25175899104667,96.6760965814177,0.00696274938203883,1.37021600044801,0.915375284434892,58.1628778843578
33,2.766598342,2.991419171,0.393724917,6.573623652,16.37362365,51.38794977,11.97362365,9.373623652,4.6,60,232,464,572,2.98667555563443,2.96459806231149,2.91676443247434,2.50241619531114,1.93616522527032,1.9169741531334,6.12554741431668,2.7974708013403,2.71431310686158,589.696511759417,2.07263705555776,1.87878775862585,28.7903953504456,2.28044117657459,1.44198961079231,992.029841066023
34,6.34838494,7.601436856,0.530311228,3.399428648,6.299428648,446.7310001,5.199428648,4.399428648,2.6,27,81,92,179,7.33224217840423,7.11903515226989,6.86411378213777,5.68679976391765,4.11772528018824,4.11817247607225,1174.48898607833,6.99733512613734,6.81568372149903,142.140850788691,5.24633711896296,4.97228970330725,153.887488686356,5.21747730701191,3.81813728760625,23.8051616549593
35,7.015642419,8.665112178,0.721138711,2.300321651,4.400321651,75.55136446,3.600321651,3.000321651,1.7,55,89,87,78,8.30232445982652,8.01915782933557,7.66944597866392,6.12204968542604,7.98989928122765,7.90715291523548,1097.27643249522,6.40242630362457,6.13518456543277,34.23050708607,6.06272299113768,5.51352981826087,2206.08815442183,7.54620638266492,5.90638033233948,1839.55829594759
36,7.655447904,8.873601968,0.984778534,2.016437278,4.316437278,40.77246569,3.416437278,2.716437278,1.4,12,70,70,120,8.74711980396309,8.5667387872096,8.26220469030479,6.63826753657044,4.57002554269672,4.72334622987786,203.174947724293,5.10671896707469,4.70789250031878,31.7734221987687,6.69710120444958,6.21361547771764,271.321388150495,5.8248608390037,2.81477384067483,2902.91944585574
37,3.483992312,3.674619412,0.684610044,4.322001566,14.32200157,14.23478615,9.422001566,6.722001566,2.7,62,113,115,95,3.67441666193798,3.66881389926172,3.63775468975407,3.09593473719451,2.43030648563909,2.41634231870772,5.51634720252835,3.89268828040283,3.81235240187185,14.8399005713982,2.59151036244254,2.36704814668662,521.42476547966,3.850841333966,3.03856909944575,108.474964254329
38,7.448142152,8.776037623,0.735037558,2.569160792,4.969160792,166.0010412,4.069160792,3.469160792,1.9,64,165,233,214,8.54851254276233,8.33514812292885,8.09076495665558,6.60446058375397,8.01300549713094,7.96145922387968,283.143060229632,7.4353857611101,7.16947617703647,1704.71407750209,5.87317041428192,5.36208000718329,70.0006915893538,8.10920295581087,6.28850269985158,2767.69670393469
39,4.93953939,6.030619876,0.727964317,2.348578478,5.048578478,13.64656866,4.048578478,3.248578478,1.6,10,61,92,38,5.87777552351728,5.71410051353016,5.46396191962624,4.14904919447366,2.64879882764491,2.90340254695438,6.00747887353955,2.99449593245593,2.5718149101666,81.9403153229393,2.97006814709432,2.04663915649451,27.8820923894643,3.38664746446835,77.7556083937874,0.0307130562177188
40,1.40691624,2.548598242,0.092381242,8.692683301,14.8926833,40.27536064,12.6926833,10.9926833,6.6,46,134,150,189,1.9047299446169,1.75962458660555,1.62545811320951,1.1634221112017,1.0356773545443,0.982149670913613,164.489323248314,1.07019826121309,0.929764236335477,60.0618885191968,0.515354526858666,47.8101425553491,-0.000803921566712206,1.41485996274321,0.920772333480983,646.080384399456
41,3.538813687,3.809321036,0.510000499,5.186087044,13.18608704,50.73068765,9.586087044,7.486087044,3.6,52,110,238,320,3.8047474605362,3.78063825233219,3.72561608575417,3.20191077239955,2.89387119291787,2.87779572118289,22.3994523405577,2.46944165752392,2.36541454992611,676.238297363272,3.00785071623025,2.81375084357333,33.1501560749744,3.39285116902379,2.52664343941113,195.413956769277
42,8.67327497,9.187634496,0.990565136,2.910148144,7.110148144,284.1735723,5.210148144,4.110148144,2,55,310,600,723,9.17960959831668,9.13493411539683,9.03094841381579,7.92053778205551,7.17978103616356,7.174843319856,573.290713230016,8.47491799291481,8.31796352846575,1387.33737756513,6.43060504392839,5.9973243134245,87.2556758546474,7.49273694470095,5.67105933416431,2508.66376737458
43,3.197206154,3.619962302,0.485214369,4.425720871,10.22572087,22.39475038,7.825720871,6.125720871,3.1,71,186,255,158,3.59461804410285,3.53875000500221,3.43467064576557,2.81559633612375,3.42603266381549,3.38891962561495,45.8174472794686,2.9325076512372,2.75479171354331,849.385168335831,2.95455069268487,2.66033945135823,14.6464508650556,2.78217791701129,1.60771980439732,245.191299561831
44,7.622468689,8.94742152,0.92813707,2.05787334,4.35787334,48.26135087,3.45787334,2.85787334,1.5,55,246,397,410,8.79070839913899,8.58611010163245,8.31685258504579,6.72374973356803,6.53170900368626,6.46191587013005,1537.86509827345,6.06391124481477,5.69142794515668,472.734718924217,6.82363912574911,6.20487526085161,2025.38880222409,6.68150971880677,4.39079984597695,298.358644860883
45,4.63950082,4.704152131,0.6753215,6.348372493,32.84837249,127.7651537,18.64837249,11.34837249,3.9,193,357,325,330,4.70415212990747,4.7041361674304,4.70194343808955,4.36635450388276,4.68172744590938,4.67670977450213,98.5453828547241,4.93420572746059,4.87945603322666,415.427468290696,4.95523512060632,4.82623492837198,614.392568830348,4.95362402152904,4.24705638485992,115.868472893335
46,8.023807733,8.788562247,0.89890552,2.71624934,5.91624934,188.5748708,4.61624934,3.71624934,1.9,21,102,107,127,8.74548231727652,8.64995638267829,8.47729577608408,7.1957030420708,9.49586232696466,9.77334924730154,245.538774173868,8.71244112188054,8.49278848572477,652.516555748892,6.45780551203946,6.09592502607835,1321.35509904251,8.02961625071312,6.53225117903441,3175.30278873215
