tree.number,lambda.init.sim.80,lambda.final.sim.80,alpha.sim.80,mu.sim.80,lambda.init.fit.80,lambda.final.fit.80,bamm.lambda.final.sim80,alpha.fit.80,mu.fit.80,bamm.mu.80,netdiv.sim.80,netdiv.fit.80,bamm.netdiv.80,ntip.80,lambda.init.sim.50,lambda.final.sim.50,alpha.sim.50,mu.sim.50,lambda.init.fit.50,lambda.final.fit.50,bamm.lambda.final.50,alpha.fit.50,mu.fit.50,bamm.fit.50,netdiv.sim.50,netdiv.fit.50,bamm.netdiv.50,ntip.50,lambda.init.sim.20,lambda.final.sim.20,alpha.sim.20,mu.sim.20,lambda.init.fit.20,lambda.final.fit.20,bamm.lamda.final.20,alpha.fit.20,mu.fit.20,bamm.mu.20,netdiv.sim.20,netdiv.fit.20,bamm.netdiv.20,ntip.20,lambda.init.sim.s20,lambda.final.sim.s20,alpha.sim.s20,mu.sim.s20,lambda.init.fit.s20,lambda.final.fit.s20,bamm.lambda.final.s20,alpha.fit.s20,mu.fit.s20,bamm.mu.s20,netdiv.sim.s20,netdiv.fit.s20,bamm.netdiv.s20,ntip.s20,time.80,time.50,time.20,time.s20,decline.length.80,decline.length.50,decline.length.20,gamma.80,gamma.50,gamma.20,gamma.s20,cga.80,cga.50,cga.20,cga.s20,gamma.orig.80,gamma.orig.50,gamma.orig.20,gamma.orig.s20
1575,4.643071,2.77e-05,0.6676276,0.1426778,3.99394957456583,0.002440441869778,0.00209,0.422501883904821,0.35663957818967,0.2093278748,-0.1426500645,-0.3508026986,-0.20724096,64,4.643071,0.001989278734,0.6676276,0.1426778,4.07448147407086,0.00127725444158673,0.002765407,0.725809845917161,0.13455988383891,0.117665866,-0.1406885213,-0.1740186937,-0.114900459,156,4.643071,0.0205830666,0.6676276,0.1426778,3.73181016576832,0.0100471948962656,0.0136859221,0.777008115234479,0.0364175573818332,0.0482461931,-0.1220947334,-0.004987828822,-0.034560271,255,4.643071,0.4797175244,0.6676276,0.1426778,3.85329726152498,0.0016136854479383,0.001748747967,0.551034762823897,0.249629225268523,0.1891417289,0.3370397244,-0.2533992255,-0.1873929809,112,18.01629,11.616295,8.116295,3.4,12.799995,6.4,2.9,-0.9164188878,-0.7982495835,-0.6639872448,-0.8593030364,17.5155592281,11.1155642358,7.6155642358,14.1155592278,-12.4982873025291,-17.1577244310529,-18.2928184675106,-6.92845577552027
1576,6.920727,0.2932185934,0.7482716,1.520989,7.34699417601732,0.490130389907789,0.3683419074,0.703020998262697,2.22643321062903,0.4179530517,-1.227770407,-1.331206831,-0.04961114434,13,6.920727,0.5335408638,0.7482716,1.520989,5.03703954148356,0.268502754861534,0.375162382,0.960883732237919,0.936292454664159,0.229053481,-0.9874481362,0.04063930608,0.146108901,30,6.920727,0.8358913358,0.7482716,1.520989,5.84522561503677,0.949356642950468,0.8638230187,0.741555464915244,1.65682275238831,0.3031322239,-0.6850976642,-0.2496684265,0.5606907948,50,6.920727,2.427690956,0.7482716,1.520989,5.84522561503677,0.949356642950468,0.8646801216,0.741555464915244,1.65682275238831,0.3075042214,0.9067019564,-1.114798096,0.5571759002,50,4.22488,3.42488,2.82488,1.4,2.2,1.4,0.8,-0.3323873845,-0.3601492697,-0.1298884894,-0.1298884894,3.85105864839,3.0510586489,2.45105864846,2.45105864846,-1.90942015314716,-3.30082257999223,-1.55866187296057,-1.79573212377528
1577,6.394706,0.09335442367,0.5968838,0.8004587,0.987175946163711,0.0234188070294413,0.1321217351,0.5689497904542,1.13769484062417e-06,0.246,-0.7071042763,0.03154729384,-0.1141948734,10,6.394706,0.2153017595,0.5968838,0.8004587,1.19697446501906,0.210925697922087,0.312847732,0.33541505363433,0.0897567252510709,0.236,-0.5851569405,0.2483951257,0.076360706,28,6.394706,0.3910847846,0.5968838,0.8004587,2.88694406955433,0.484556940558213,0.4941933682,0.427394084871373,0.725627301597297,0.2729381447,-0.4093739154,0.1019632054,0.2212552234,43,6.394706,1.438011074,0.5968838,0.8004587,3.30849492175844,0.620680476156446,0.5554044156,0.404860443918791,0.994224420597342,0.3307877946,0.6375523745,-0.6938596743,0.224616621,48,7.081483,5.681483,4.681483,2.5,3.6,2.2,1.2,-0.5300984329,-0.2371594731,-0.1453526814,-0.09790631862,6.575815530908,5.17581553102,4.17581553102,4.133355741,-2.59694134790215,-2.09453575327527,-1.61203921978309,-1.45643013787891
1578,8.12246,0.3334452552,0.8883009,1.803077,5.04282170031183,0.177750014185404,0.3324816547,0.956475632512307,0.914055980193529,0.2870784746,-1.469631745,-0.586124269,0.04540318017,16,8.12246,0.6209740724,0.8883009,1.803077,5.69034343467865,0.937356660770691,0.807262349,0.644652461799617,1.63736931180854,0.328655747,-1.182102928,-0.611551188,0.478606602,53,8.12246,0.9682010671,0.8883009,1.803077,8.0887133631168,1.24147400710486,1.031509802,0.815717566057647,2.10089734293711,0.2910300353,-0.8348759329,-0.7544483047,0.7404797668,79,8.12246,2.797348443,0.8883009,1.803077,8.0887133631168,1.24147400710486,1.038815761,0.815717566057647,2.10089734293711,0.2997456633,0.9942714433,-1.327825326,0.7390700974,79,3.594401,2.894401,2.394401,1.2,1.9,1.2,0.7,-0.4299760683,-0.1074081046,-0.1101004162,-0.1101004162,3.49757255007,2.79757255076,2.29757255077,2.29757255077,-2.78656340533723,-1.32856488069905,-1.67338145102613,0.640530255592164
1579,7.9927,0.08511868046,0.7979467,0.9325162,7.05739567185393,0.0898490021862548,0.09985508912,0.787115885997358,0.977255548252306,0.837803871,-0.8473975195,-0.8778054105,-0.7379487819,97,7.9927,0.2217570833,0.7979467,0.9325162,7.58580571340994,0.244154847076198,0.194395767,0.791045446014444,1.06236696408118,0.645696835,-0.7107591167,-0.8075574459,-0.451301068,246,7.9927,0.4198678099,0.7979467,0.9325162,8.27113807210905,0.543466987460853,0.3837087793,0.768235429195736,1.31948437876294,0.4495072512,-0.5126483901,-0.762557149,-0.06579847187,435,7.9927,1.754931623,0.7979467,0.9325162,8.44201475378552,0.494860501716901,0.3505484416,0.778476729839859,1.31878731293975,0.5319157083,0.8224154233,-0.8844649221,-0.1813672667,409,5.692407,4.492407,3.692407,1.9,3,1.8,1,-0.5825965208,-0.4008298808,-0.2522367875,-0.2736145213,5.54391157289,4.34391157279,3.54391157389,3.64391157389,-9.83536126518708,-10.844652246593,-9.09102813997523,-3.55383732511668
1580,8.219454,0.3366723682,0.7700744,1.696405,6.69083503934199,0.364033621677979,0.353442116,0.728284903835628,1.71034314115919,0.4011527291,-1.359732632,-1.232790451,-0.04771061307,18,8.219454,0.6233884104,0.7700744,1.696405,6.70060833472025,0.755625614651614,0.592037918,0.682556454568604,1.86831655375505,0.340419498,-1.07301659,-1.001373816,0.25161842,46,8.219454,0.9895144975,0.7700744,1.696405,9.18286698702156,1.15504985230828,0.8142041683,0.798180541997731,2.38313349353152,0.3182258889,-0.7068905025,-1.111264928,0.4959782794,86,8.219454,2.589311949,0.7700744,1.696405,9.69536924964312,1.41504946656548,0.9716187113,0.77059426980815,2.7550331649678,0.3545434346,0.8929069486,-1.723880688,0.6170752767,88,4.149143,3.349143,2.749143,1.5,2.1,1.3,0.7,-0.3455355039,-0.1549210574,-0.1259516043,-0.08381024669,3.99740227817,3.19740227797,2.59740227872,2.49740227872,-2.39394019439001,-1.77990743904595,-1.99941973286358,-0.646916868714697
1581,7.859621,0.2039831662,0.9500371,1.499843,9.18837716280393,0.138363897405557,0.1670026674,1.10510359816775,1.47720741098354,0.4613772705,-1.295859834,-1.321074556,-0.2943746031,32,7.859621,0.4361852995,0.9500371,1.499843,9.1572729697488,0.513304824021454,0.359241054,0.961518031099595,1.84296657740938,0.324278117,-1.0636577,-1.31327451,0.034962938,89,7.859621,0.7713092627,0.9500371,1.499843,8.97628625268089,0.809136884005434,0.642295882,1.00401315596072,1.8338713339358,0.1998815165,-0.7285337373,-1.000577153,0.4424143655,135,7.859621,2.513544395,0.9500371,1.499843,7.7203644260023,0.701633143596361,0.5745143411,0.923539684737223,1.5334980751596,0.1974028763,1.013701395,-1.037636112,0.3771114648,125,3.843488,3.043488,2.443488,1.2,2.1,1.3,0.7,-0.5817808416,-0.3147687724,-0.2189935469,-0.2253207571,3.79675486277,2.99675486246,2.39675486285,2.59675486286,-5.51925767572591,-5.08524514714539,-4.37439267417049,-4.32827040354361
1582,6.182421,0.1026914871,0.70688,0.9187897,7.52556062300762,0.164703143615158,0.1765517915,0.66121598069821,1.40704969507849,1.235115737,-0.8160982129,-1.241941756,-1.058563946,68,6.182421,0.239843163,0.70688,0.9187897,6.05321643041145,0.287538208052963,0.236005082,0.665262286065703,1.1116571431631,0.715861438,-0.678946537,-0.8226176312,-0.479856356,175,6.182421,0.4222042587,0.70688,0.9187897,6.52484608628107,0.443317722541066,0.3331642251,0.711373489487859,1.14207849074089,0.4295169755,-0.4965854413,-0.6979867433,-0.09635275037,283,6.182421,1.613874714,0.70688,0.9187897,6.36880759611211,0.443307874849284,0.3397401838,0.686807255612959,1.16416335960876,0.5037566296,0.695085014,-0.7850503691,-0.1640164458,267,5.796933,4.596933,3.796933,1.9,3.1,1.9,1.1,-0.5451584738,-0.3426084129,-0.2662320415,-0.2626359085,5.780132325726,4.580132326726,3.780132326726,3.880132326726,-7.67105969132077,-7.80515805415301,-7.7299041659263,-2.67755606351642
1583,4.70701,0.2735173987,0.31524,0.9651901,4.51989656263763,0.285577578242077,0.268603636,0.306804505641611,0.963461761571146,0.9018501583,-0.6916727013,-0.6775510013,-0.6332465223,621,4.70701,0.4388796523,0.31524,0.9651901,4.66640632960801,0.459996258113789,0.421909304,0.3088577038609,0.992089125350118,0.870549423,-0.5263104477,-0.5320985974,-0.448640119,1512,4.70701,0.6207877493,0.31524,0.9651901,4.69196829479624,0.64515350880108,0.5800123207,0.309941255782697,0.999128987153302,0.7808513419,-0.3444023507,-0.3539214857,-0.2008390212,2406,4.70701,1.420687468,0.31524,0.9651901,4.58004529900364,0.858362595177289,0.7591184891,0.321908328119991,0.88724396633366,0.5086750006,0.4554973681,-0.0435139103,0.2504434885,3058,9.026275,7.526275,6.426275,3.8,4,2.5,1.4,-0.2577729583,-0.1352809639,-0.07409281584,-0.05422387942,9.0015974915,7.5015974929,6.4015974925,5.20159749247,-11.108190204879,-9.10512243670619,-6.29222087437207,-0.219231614098993
1584,3.016951,0.6270037975,0.1515357,1.278153,3.93649480035155,1.24674861100202,0.9080522437,0.111032962247193,2.11234129650804,1.471989324,-0.6511492025,-0.8646421887,-0.5639370799,41,3.016951,0.8112400841,0.1515357,1.278153,2.87513635693171,0.664492336151926,0.564148389,0.169246076478636,1.12607752386039,0.813653347,-0.4669129159,-0.462060523,-0.249504958,72,3.016951,0.9878792315,0.1515357,1.278153,2.31421063660397,0.782750044956952,0.669189803,0.147383304555274,0.920540459169672,0.5397706437,-0.2902737685,-0.1366631035,0.1294191593,120,3.016951,1.596472932,0.1515357,1.278153,3.15909554169524,1.40808958043332,1.192813513,0.131282796435226,1.49852736931082,0.9195475875,0.3183199325,-0.2267304904,0.2732659251,186,10.36752,8.667515,7.367515,4.2,4.700005,3,1.7,0.2159886483,0.04890156028,0.06607239715,0.1443766648,10.3550477997,8.6550428007,7.3550428001,6.1550478007,2.33627443871108,0.708650933489379,1.24314473394122,2.60677961938695
